,shape,value,level,Ac,Am
1,Exchangeable form,39.89284184,CK,NI,CK
2,Carbonate bound form,86.52415518,CK,NI,CK
3,Fe-Mn oxide bound form,19.73302169,CK,NI,CK
4,Organic bound form,16.69715558,CK,NI,CK
5,Residual form,22.61360088,CK,NI,CK
6,Exchangeable form,48.87546407,B,NI,B
7,Carbonate bound form,107.2096636,B,NI,B
8,Fe-Mn oxide bound form,25.85035666,B,NI,B
9,Organic bound form,23.20608456,B,NI,B
10,Residual form,31.46428484,B,NI,B
11,Exchangeable form,68.96880767,L,NI,L
12,Carbonate bound form,119.2113072,L,NI,L
13,Fe-Mn oxide bound form,44.92037006,L,NI,L
14,Organic bound form,37.52246394,L,NI,L
15,Residual form,40.12108101,L,NI,L
16,Exchangeable form,52.12280272,Act12,Act12,CK
17,Carbonate bound form,104.6013871,Act12,Act12,CK
18,Fe-Mn oxide bound form,28.51138786,Act12,Act12,CK
19,Organic bound form,26.48449477,Act12,Act12,CK
20,Residual form,49.34618828,Act12,Act12,CK
21,Exchangeable form,29.16728412,Act12B,Act12,B
22,Carbonate bound form,56.0792646,Act12B,Act12,B
23,Fe-Mn oxide bound form,21.11765756,Act12B,Act12,B
24,Organic bound form,15.84692454,Act12B,Act12,B
25,Residual form,33.73969418,Act12B,Act12,B
26,Exchangeable form,48.5899511,Act12L,Act12,L
27,Carbonate bound form,105.4309056,Act12L,Act12,L
28,Fe-Mn oxide bound form,26.63195892,Act12L,Act12,L
29,Organic bound form,24.25485867,Act12L,Act12,L
30,Residual form,40.26324217,Act12L,Act12,L
31,Exchangeable form,37.42184571,D74,D74,CK
32,Carbonate bound form,100.419585,D74,D74,CK
33,Fe-Mn oxide bound form,20.9264366,D74,D74,CK
34,Organic bound form,24.74236373,D74,D74,CK
35,Residual form,50.29869605,D74,D74,CK
36,Exchangeable form,43.37963566,D74B,D74,B
37,Carbonate bound form,86.42493134,D74B,D74,B
38,Fe-Mn oxide bound form,23.19176285,D74B,D74,B
39,Organic bound form,23.18106844,D74B,D74,B
40,Residual form,37.2512633,D74B,D74,B
41,Exchangeable form,48.57717432,D74L,D74,L
42,Carbonate bound form,104.0785712,D74L,D74,L
43,Fe-Mn oxide bound form,26.90675308,D74L,D74,L
44,Organic bound form,23.75093721,D74L,D74,L
45,Residual form,42.94474994,D74L,D74,L
