samples,shannon,chao1,ACE,observed_species,group1,group2
c1,9.676,4404.261,4407.247,3329,c,1
c2,9.752,4403.391,4403.546,3438,c,1
c3,9.737,3757.39,3958.946,3317,c,1
c4,9.628,4368.363,4356.941,3359,c,2
c5,9.737,3818.476,4055.213,3333,c,2
c6,9.668,3579.242,3726.477,3157,c,2
c7,9.477,4284.011,4328.929,3223,c,3
c8,9.725,4192.928,4298.467,3367,c,3
c9,9.544,4274,4322.492,3231,c,3
t1,9.715,3906.778,4042.768,3323,t,4
t2,9.751,3906.327,4165.316,3371,t,4
t3,9.403,3569.016,3814.602,3099,t,4
t4,7.859,3003.075,3243.684,2543,t,5
t5,8.354,3078.519,3195.197,2651,t,5
t6,9.731,3849.693,4095.351,3345,t,5
t7,9.348,3963.822,4027.83,3063,t,6
t8,9.378,4289.971,4303.286,3204,t,6
t9,9.375,3596.392,3734.853,3025,t,6
f1,7.813,3004.526,3233.953,2534,f,7
f2,8.619,3881.753,3871.38,2896,f,7
f3,9.684,4101.609,4138.652,3262,f,7
f4,9.693,4452.44,4436.025,3359,f,8
f5,9.722,3854.521,4137.778,3371,f,8
f6,9.627,3689.009,3955.999,3240,f,8
f7,9.312,4602.185,4912.544,3283,f,9
f8,9.29,3442.369,3531.564,2909,f,9
f9,9.289,3467.122,3690.223,2928,f,9
