,pH,NH4+,NO3-,TN,TP,AP,AK,OM,OC,CEC,Mgex,Caex,Ca2+,Mg2+,Fe.DTPA,Mn2+,MC,MBC,MBN,MBC/MBN,rootcd,shootcd,tf,Chuli,,Ac,Am,AcAm
CK-1,8.47,64.3226556,128.1453942,0.873,0.887812249,11,107.1,20.29252544,11.77060641,9.276764314,2.881547309,65.28110446,234.778125,8.434375,7.9694,7.82,15.66390041,245.7215307,4.594170124,53.48550969,0.236264857,0.144609554,0.612065441,CK,1,CK,CK,CK
CK-2,8.52,73.0077,121.5302,0.864,0.863003523,10.75,103.3,21.64197832,12.5533517,9.202252132,2.743264123,65.75016633,194.225,7.815625,8.363,8.1418,13.93,245.1678271,5.664379352,43.28238133,0.209476309,0.11094658,0.529637841,CK,2,CK,CK,CK
CK-3,8.58,66.10427807,123.8353476,0.795,0.89639146,11.2,106.6,20.97912897,12.16886831,9.457853002,2.779606316,66.16017964,197.93125,7.903125,7.902,7.9928,13.68983957,245.4437314,6.102870588,40.21775128,0.263053405,0.077283606,0.293794357,CK,3,CK,CK,CK
B-1,8.69,59.32181818,111.1027273,0.858,0.888642578,10.6,122,34.18171915,19.82698327,8.62738119,2.810691462,65.65452428,184.396875,7.73125,7.8982,7.58,15.75757576,212.2993939,1.055709091,201.0964912,0.283159463,0.139650873,0.493188084,B,4,CK,B,Am
B-2,8.55,71.26477816,107.9503413,0.837,0.904454458,10.6,120.3,37.39464985,21.69063217,8.898093842,2.783949094,63.13373253,193.3375,7.803125,7.707,7.1966,16.55290102,207.5677664,0.979044369,212.0105819,0.208312667,0.145789334,0.699858228,B,5,CK,B,Am
B-3,8.54,49.66989374,75.74658796,0.878,0.903868311,12.15,115.4,33.79438168,19.60230956,8.703306667,2.748064035,65.9505988,197.16875,8.01875,7.7258,7.4546,14.52184179,197.9955398,0.907012987,218.2940516,0.245736065,0.142720104,0.580786152,B,6,CK,B,Am
L-1,8.69,32.97819568,46.62434562,0.758,0.887506643,11.85,83.2,22.09349969,12.81525504,9.598280573,2.466697752,62.44926813,212.55625,7,7.9094,7.3246,13.21473952,224.1400254,3.613814485,62.02311334,0.254113052,0.120629972,0.474709863,L,7,CK,L,Am
L-2,8.67,20.83651685,34.94123596,0.731,0.959491874,12.7,85.8,19.00391234,11.02315101,9.562805569,2.408641671,72.26380572,207.053125,7.4875,7.813,7.5718,15.02808989,209.6578652,3.703904494,56.60455488,0.251393867,0.104280465,0.414809105,L,8,CK,L,Am
L-3,8.71,36.96471322,37.74291771,0.718,0.939652652,11.5,86.3,20.59881857,11.94827063,9.415393842,2.503268512,69.05605456,185.715625,7.184375,7.7932,7.3344,11.97007481,215.4055417,3.856249377,55.85882049,0.256832236,0.136979478,0.533342232,L,9,CK,L,Am
D74-1,8.46,24.0194703,77.1923435,0.774,1.0511749,16.2,105,16.12535906,9.353456529,9.567954182,2.689322252,73.25182967,155.753125,7.4,8.013,7.6628,17.33547352,322.0728375,17.01364366,18.9302682,0.389480228,0.088139003,0.226299043,D74,10,D74,CK,Ac
D74-2,8.57,22.3068932,60.09203883,0.809,0.934839729,16.1,103.8,17.85036571,10.35404043,9.420810019,2.698464942,68.04141717,160.284375,7.75,7.9094,7.869,14.17475728,293.251521,15.13043883,19.38156086,0.409673255,0.104239055,0.254444374,D74,11,D74,CK,Ac
