,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,e1,e2,e3,f1,f2,f3,g1,g2,g3,h1,h2,h3,i1,i2,i3
a1,0,0.077134905,0.068337043,0.183489459,0.080150684,0.131740807,0.152145365,0.067672678,0.160128076,0.156765749,0.094262321,0.233459734,0.711801096,0.60675864,0.095099378,0.162690341,0.186507392,0.165777214,0.655242875,0.546347107,0.088408367,0.084010646,0.088631582,0.174448515,0.245041086,0.204605334,0.231912403
a2,0.077134905,0,0.05191882,0.19346706,0.074979964,0.146687308,0.166236711,0.051038186,0.168913671,0.1890238,0.101398006,0.253157907,0.73839053,0.632131681,0.103913473,0.19947354,0.182927851,0.173251654,0.68242998,0.571902375,0.104002681,0.096831157,0.08301721,0.185590001,0.269599498,0.21794355,0.246050518
a3,0.068337043,0.05191882,0,0.198229582,0.05805927,0.146977602,0.166564303,0.048216933,0.171349988,0.18588864,0.09750619,0.256426839,0.741649519,0.63524719,0.104063911,0.183195541,0.182635058,0.16282835,0.684744845,0.575001418,0.08164507,0.083465413,0.066408987,0.176531654,0.263382765,0.208905716,0.243618079
b1,0.183489459,0.19346706,0.198229582,0,0.187559903,0.121322807,0.25518323,0.18543568,0.214632276,0.119989551,0.150625399,0.16800075,0.56860728,0.462606141,0.145791265,0.273130469,0.298161515,0.28469893,0.510924731,0.405548804,0.18274122,0.170894276,0.186240006,0.168606071,0.19783754,0.31677532,0.285414102
b2,0.080150684,0.074979964,0.05805927,0.187559903,0,0.13875423,0.176302801,0.065173394,0.165982712,0.17824921,0.070307765,0.239170633,0.723060662,0.616434527,0.091635225,0.187759197,0.19722133,0.176194155,0.665740421,0.556395077,0.075668184,0.08246167,0.063588598,0.157095069,0.24943456,0.205859106,0.243014972
b3,0.131740807,0.146687308,0.146977602,0.121322807,0.13875423,0,0.210648382,0.144409917,0.157734126,0.137763786,0.111030728,0.130665272,0.615280271,0.508547494,0.09142354,0.225050024,0.237683795,0.229479523,0.559735991,0.448885796,0.129361879,0.124496258,0.146057817,0.103737839,0.185488879,0.253395181,0.221177684
c1,0.152145365,0.166236711,0.166564303,0.25518323,0.176302801,0.210648382,0,0.168630059,0.106522853,0.230669885,0.198140725,0.300868212,0.737505911,0.628602567,0.200769997,0.100399009,0.091578496,0.116390259,0.6742792,0.574150079,0.164024109,0.135010199,0.157342262,0.226825007,0.193963545,0.141413274,0.122151221
c2,0.067672678,0.051038186,0.048216933,0.18543568,0.065173394,0.144409917,0.168630059,0,0.175508637,0.17935804,0.090999353,0.250026163,0.73204629,0.626511313,0.098919836,0.196417307,0.192326219,0.177289757,0.675189385,0.567101339,0.091099923,0.081651923,0.063657183,0.181764294,0.268442836,0.219259289,0.248704056
c3,0.160128076,0.168913671,0.171349988,0.214632276,0.165982712,0.157734126,0.106522853,0.175508637,0,0.205912054,0.166472348,0.239983688,0.683890543,0.574550825,0.16542456,0.139517372,0.127241518,0.126059571,0.621984814,0.521020744,0.15281188,0.132917206,0.162507646,0.161482103,0.151266088,0.141710178,0.122493485
d1,0.156765749,0.1890238,0.18588864,0.119989551,0.17824921,0.137763786,0.230669885,0.17935804,0.205912054,0,0.156122561,0.193486909,0.61138077,0.508063673,0.148907929,0.235863025,0.274755219,0.253721164,0.552743213,0.452174764,0.177303773,0.167428387,0.18018786,0.176159976,0.218264553,0.29693919,0.267695935
d2,0.094262321,0.101398006,0.09750619,0.150625399,0.070307765,0.111030728,0.198140725,0.090999353,0.166472348,0.156122561,0,0.190585401,0.676053582,0.570441738,0.061482483,0.209115207,0.230711931,0.210621089,0.61949578,0.510639473,0.096122761,0.090875168,0.097981417,0.131542521,0.240786955,0.235861244,0.250376515
d3,0.233459734,0.253157907,0.256426839,0.16800075,0.239170633,0.130665272,0.300868212,0.250026163,0.239983688,0.193486909,0.190585401,0,0.505428546,0.400937685,0.180774396,0.306476624,0.326029741,0.317758347,0.450949337,0.343531963,0.227894162,0.226984913,0.248802417,0.130318008,0.20589904,0.307032162,0.27303091
e1,0.711801096,0.73839053,0.741649519,0.56860728,0.723060662,0.615280271,0.737505911,0.73204629,0.683890543,0.61138077,0.676053582,0.505428546,0,0.128851158,0.66469939,0.732482784,0.769482688,0.767583096,0.164105651,0.188742542,0.706800599,0.699087822,0.728497169,0.596185166,0.624798203,0.741467172,0.695502354
