 ,TcdR1,TcdS1,TF1,Chuli,Ac,Am
1,0.236264857,0.144609554,0.612065441,CK,CK,CK
2,0.209476309,0.11094658,0.529637841,CK,CK,CK
3,0.263053405,0.077283606,0.293794357,CK,CK,CK
4,0.283159463,0.139650873,0.493188084,B,CK,B
5,0.208312667,0.145789334,0.699858228,B,CK,B
6,0.245736065,0.142720104,0.580786152,B,CK,B
7,0.254113052,0.120629972,0.474709863,L,CK,L
8,0.251393867,0.104280465,0.414809105,L,CK,L
9,0.256832236,0.136979478,0.533342232,L,CK,L
10,0.266581794,0.110632025,0.415002178,Act12,Act12,CK
11,0.276587262,0.143849206,0.520086156,Act12,Act12,CK
12,0.256576325,0.077414844,0.301722476,Act12,Act12,CK
13,0.228287841,0.064702369,0.283424508,Act12B,Act12,B
14,0.270015854,0.057202547,0.211848846,Act12B,Act12,B
15,0.249151848,0.084636065,0.339696718,Act12B,Act12,B
16,0.236106969,0.13933121,0.590119007,Act12L,Act12,L
17,0.275324933,0.131840796,0.478855273,Act12L,Act12,L
18,0.255715951,0.163934426,0.641080173,Act12L,Act12,L
19,0.389480228,0.088139003,0.226299043,D74,D74,CK
20,0.409673255,0.104239055,0.254444374,D74,D74,CK
21,0.369287201,0.072038951,0.195075678,D74,D74,CK
22,0.343078759,0.124775404,0.363693178,D74B,D74,B
23,0.343164094,0.151650756,0.441919066,D74B,D74,B
24,0.343249428,0.13821308,0.402660773,D74B,D74,B
25,0.251393867,0.052202446,0.207652027,D74L,D74,L
26,0.253425108,0.072024637,0.284204819,D74L,D74,L
27,0.255456349,0.062113542,0.24314738,D74L,D74,L
