,height,rootlength,abdrymass,uddrymass,treatment
1,44.9,29,0.6816,0.2816,CK
2,43,26.3,0.5658,0.3021,CK
3,43.2,22.4,0.5752,0.1846,CK
4,46.7,26.4,0.721,0.2409,CK
5,44.1,29.9,0.6653,0.2486,CK
6,48.5,26.1,0.765,0.2159,CK
7,44.9,25.8,0.5464,0.1694,CK
8,41.8,24.7,0.5909,0.2144,CK
9,46,28.5,0.5108,0.1597,CK
10,45.6,23.2,0.6113,0.2385,CK
11,42.5,33.6,0.5247,0.2172,CK
12,48,26.5,0.5361,0.1651,CK
13,47.7,25.7,0.5839,0.1855,CK
14,44.4,25.9,0.5811,0.23,CK
15,45.9,27.2,0.6656,0.2985,CK
16,46.4,24.9,0.648,0.2679,CK
17,44.8,24.5,0.5925,0.1967,CK
18,43.7,23.5,0.4932,0.1587,CK
19,42.4,25.5,0.7054,0.1331,B
20,42.4,27,0.5189,0.1558,B
21,43.8,22.1,0.5287,0.2504,B
22,41.6,26.6,0.6223,0.1415,B
23,44.2,26.4,0.6318,0.2098,B
24,43,29.2,0.6246,0.1758,B
25,41.9,25.9,0.573,0.1785,B
26,46.8,27.8,0.7032,0.1769,B
27,46.1,29.2,0.6802,0.207,B
28,44.9,28.5,0.5323,0.1372,B
29,41.8,31.4,0.6623,0.221,B
30,47.2,27.5,0.6388,0.1848,B
31,42.3,23.9,0.5597,0.1513,B
32,42.2,23.5,0.6703,0.2289,B
33,45.1,21.2,0.7194,0.2296,B
34,42.8,27.6,0.6529,0.1998,B
35,46.1,26.8,0.7325,0.179,B
36,42.4,22.6,0.5538,0.1024,B
37,49.5,27.6,1.034,0.3787,L
38,49.3,28.1,1.0479,0.2733,L
39,48.9,25.1,0.8904,0.2549,L
40,50.4,32.4,1.0711,0.4327,L
41,49.5,36,1.1281,0.4565,L
42,46.1,29.6,0.8454,0.2565,L
43,48.5,24.4,1.012,0.3145,L
44,48.2,28.3,0.971,0.2996,L
45,49.5,28.9,1.0951,0.424,L
46,46.5,25.1,0.9914,0.4335,L
47,47.6,26.6,0.8178,0.176,L
