,treatment,H2O2,MDA,SOD,APX,POD,CAT,TChl,Chla,Chlb
1,CK,912.7667,20.124,2156.420139,12.6374,32200,844.62,9.93024,7.15264,2.7776
2,CK,990.8659,18.576,1813.52372,12.1004,32950,770.14,10.13592,7.20688,2.92904
3,CK,1034.4169,17.544,2288.531746,15.8236,33600,761.94,10.55614,7.62642,2.92972
4,B,768.9171,23.736,2300.007239,10.1314,29250,660.96,9.67993,6.75625,2.92368
5,B,780.2081,22.188,2443.781544,12.0288,30200,862.92,10.3473,7.3651,2.9822
6,B,753.4323,20.124,2024.044044,11.7424,30950,633.42,11.61138,8.51436,3.09702
7,L,540.8389,18.06,2232.254171,12.2794,26100,925.2774632,11.33888,7.82512,3.51376
8,L,578.2605,18.06,2346.666667,10.184,26400,1008.448471,11.79726,8.04578,3.75148
9,L,472.4477,20.64,2277.130529,11.8856,28500,1039.637599,13.18478,8.96362,4.22116
10,Act12,718.5915,18.576,2907.06955,12.172,13650,927.18,10.89145,7.67453,3.21692
11,Act12,796.6607,19.092,3324.701214,12.9596,14300,1046.52,12.00935,8.71337,3.29598
12,Act12,730.5277,16.512,2599.748724,13.1386,17250,1184.22,12.40384,8.86846,3.53538
13,Act12B,454.0595,17.544,3212.591075,15.8236,23700,963.9,12.51186,9.12828,3.38358
14,Act12B,499.8687,18.576,3212.591075,16.647,25100,752.76,12.57317,9.18909,3.38408
15,Act12B,461.1567,18.06,3020.75817,15.4298,26900,862.92,12.66923,9.27261,3.39662
16,Act12L,421.1543,18.06,2431.355105,19.2604,24000,1147.5,13.58895,9.54945,4.0395
17,Act12L,434.0583,20.124,3020.75817,19.9764,24800,1179.32,13.7978,9.58292,4.21488
18,Act12L,460.8341,17.028,2145.856698,17.0264,25350,1129.14,15.08611,10.74069,4.34542
19,D74,416.9605,17.544,3286.708333,19.7974,16400,1083.24,10.96148,7.58444,3.37704
20,D74,494.3845,21.156,3812.423773,24.0934,16650,1129.14,11.97592,8.31504,3.66088
21,D74,492.7715,19.092,3742.971458,22.7688,17750,1200.26,12.80084,8.85276,3.94808
22,D74B,574.7119,20.124,3789.058642,18.8308,20200,1119.96,12.55711,9.15831,3.3988
23,D74B,579.5509,19.092,3402.635328,19.69,23450,1377,13.0027,9.56396,3.43874
24,D74B,602.7781,20.64,3588.118519,20.9072,23950,1276.02,13.86067,10.18789,3.67278
25,D74L,245.9825,20.64,4245.740741,10.6326,18400,1461.58,14.47853,10.54931,3.92922
26,D74L,325.9873,18.06,4599.301075,10.5968,19300,1264.88,15.80075,11.27559,4.52516
27,D74L,366.9575,18.576,4273.55894,13.1028,21050,1386.18,16.19983,11.38177,4.81806
