treatment,height,heightse,label1,rootlength,rootlengthse,label2,ABDW,ABDWse,label3,UNDW,UNDWse,label4,AC,AM
CK,45.11666667,0.45,bc,26.33888889,0.627378553,bc,0.603244444,0.017514096,cde,0.22085,0.010949394,b,NI,CK
B,43.72222222,0.438621992,bcd,26.26111111,0.640676669,bc,0.628338889,0.016322027,bc,0.181266667,0.009300197,cd,NI,B
L,48,0.368813492,a,26.93684211,0.762314517,bc,0.975884211,0.020858161,a,0.309131579,0.018602841,a,NI,L
N,45.09411765,0.798319494,b,26.64117647,0.701681742,bc,0.666652941,0.027131163,b,0.228270588,0.017228663,b,NI,N
A12,44.12777778,0.587328368,bcd,27.16111111,0.559594793,ab,0.630594444,0.029552103,bcd,0.206183333,0.015667111,bc,A12,CK
A12B,43.42777778,0.699290282,cd,26.62777778,0.793140756,ab,0.553405556,0.019308746,ef,0.174961111,0.014857751,cd,A12,B
A12L,49.04705882,0.965969402,a,26.65882353,0.448203836,bc,1.057135294,0.045236319,a,0.389582353,0.030371977,a,A12,L
A12N,44.35882353,0.617100599,bcd,26.67647059,0.540528704,bc,0.602152941,0.027066635,cde,0.204841176,0.017988587,bcd,A12,N
D74,42.99473684,0.583570061,de,27.55789474,0.873298372,b,0.560547368,0.024210365,def,0.188836842,0.01535684,cd,D74,CK
D74B,43.92777778,0.772645297,bcd,29.71666667,1.349830539,a,0.592555556,0.020544339,cde,0.196377778,0.009364278,bcd,D74,B
D74L,51.55,1.038829469,a,28.36666667,1.11240774,ab,0.976944444,0.03799357,a,0.298516667,0.021527956,a,D74,L
D74N,41.11904762,0.812421983,e,25,0.666976119,c,0.48632381,0.0256126,f,0.163733333,0.014295183,d,D74,N
